total_length,num_lines,avg_line_length,num_words,avg_word_length,non_ascii_chars,short_lines,garbage_lines,alphabetic_letter_count,filename,version
3518,162,21.71604938271605,625,4.2576,88,92,84,2518,rsc37_rsc176_566.txt,binary_cut
3147,193,16.305699481865286,502,4.780876494023905,49,122,104,2323,rsc37_rsc176_525.txt,binary_cut
6841,242,28.268595041322314,1231,4.256701868399675,125,122,112,5000,rsc37_rsc176_1043.txt,binary_cut
3302,141,23.418439716312058,547,4.745886654478976,42,73,70,2521,rsc37_rsc176_399.txt,binary_cut
3065,275,11.145454545454545,748,2.4050802139037435,55,182,136,1581,rsc37_rsc176_638.txt,binary_cut
4140,181,22.87292817679558,726,4.304407713498622,64,101,93,2992,rsc37_rsc176_714.txt,binary_cut
4513,241,18.726141078838175,766,4.537859007832898,68,145,133,3337,rsc37_rsc176_595.txt,binary_cut
10192,559,18.232558139534884,1955,3.906393861892583,234,315,218,7172,rsc37_rsc176_484.txt,binary_cut
3345,120,27.875,552,4.684782608695652,80,58,56,2462,rsc37_rsc176_837.txt,binary_cut
2573,134,19.20149253731343,425,4.72,20,80,72,1955,rsc37_rsc176_551.txt,binary_cut
3097,145,21.358620689655172,553,4.227848101265823,80,72,56,2236,rsc37_rsc176_816.txt,binary_cut
4798,120,39.983333333333334,805,4.747826086956522,95,37,35,3707,rsc37_rsc176_291.txt,binary_cut
2913,79,36.87341772151899,485,4.857731958762886,60,31,28,2279,rsc37_rsc176_278.txt,binary_cut
2944,494,5.959514170040486,647,2.6738794435857804,46,386,286,1582,rsc37_rsc176_690.txt,binary_cut
3425,148,23.14189189189189,640,3.959375,58,78,78,2410,rsc37_rsc176_867.txt,binary_cut
4055,186,21.801075268817204,675,4.605925925925926,82,111,92,3000,rsc37_rsc176_601.txt,binary_cut
3020,91,33.18681318681319,521,4.4664107485604605,73,34,33,2215,rsc37_rsc176_390.txt,binary_cut
3594,118,30.45762711864407,602,4.719269102990033,57,59,54,2777,rsc37_rsc176_603.txt,binary_cut
3755,167,22.48502994011976,644,4.372670807453416,98,91,82,2658,rsc37_rsc176_840.txt,binary_cut
3473,87,39.91954022988506,590,4.647457627118644,65,31,30,2644,rsc37_rsc176_283.txt,binary_cut
3659,147,24.891156462585034,638,4.326018808777429,66,82,74,2644,rsc37_rsc176_711.txt,binary_cut
733,29,25.275862068965516,118,4.711864406779661,14,16,13,543,rsc37_rsc176_383.txt,binary_cut
4044,188,21.51063829787234,751,3.940079893475366,97,98,91,2792,rsc37_rsc176_809.txt,binary_cut
3625,157,23.089171974522294,649,4.191063174114022,92,80,77,2589,rsc37_rsc176_589.txt,binary_cut
3440,260,13.23076923076923,626,3.92332268370607,111,163,134,2266,rsc37_rsc176_664.txt,binary_cut
4402,127,34.661417322834644,738,4.7168021680216805,75,56,54,3399,rsc37_rsc176_367.txt,binary_cut
3557,164,21.6890243902439,648,4.08179012345679,83,93,88,2459,rsc37_rsc176_625.txt,binary_cut
3816,142,26.87323943661972,675,4.263703703703704,57,72,64,2775,rsc37_rsc176_628.txt,binary_cut
4574,170,26.905882352941177,782,4.450127877237851,110,86,86,3323,rsc37_rsc176_557.txt,binary_cut
5271,283,18.625441696113075,903,4.398671096345515,94,180,155,3795,rsc37_rsc176_717.txt,binary_cut
4791,328,14.606707317073171,831,4.356197352587245,108,194,179,3446,rsc37_rsc176_361.txt,binary_cut
3377,213,15.854460093896714,683,3.396778916544656,66,129,121,2144,rsc37_rsc176_583.txt,binary_cut
3227,152,21.230263157894736,516,4.813953488372093,57,87,77,2382,rsc37_rsc176_480.txt,binary_cut
10112,275,36.77090909090909,1815,4.308539944903581,201,112,99,7547,rsc37_rsc176_873.txt,binary_cut
4218,166,25.40963855421687,703,4.584637268847795,67,90,84,3113,rsc37_rsc176_477.txt,binary_cut
1396,103,13.553398058252426,252,4.007936507936508,23,82,79,958,rsc37_rsc176_516.txt,binary_cut
3842,209,18.382775119617225,730,3.826027397260274,72,124,103,2614,rsc37_rsc176_686.txt,binary_cut
4388,196,22.387755102040817,774,4.248062015503876,104,111,105,3121,rsc37_rsc176_598.txt,binary_cut
4603,97,47.45360824742268,757,4.873183619550859,124,24,23,3542,rsc37_rsc176_560.txt,binary_cut
4233,150,28.22,720,4.604166666666667,28,71,71,3231,rsc37_rsc176_648.txt,binary_cut
1615,236,6.843220338983051,324,3.2222222222222223,29,179,126,958,rsc37_rsc176_708.txt,binary_cut
3382,144,23.48611111111111,573,4.605584642233857,23,77,74,2597,rsc37_rsc176_501.txt,binary_cut
4852,601,8.073211314475873,936,3.514957264957265,119,458,341,3061,rsc37_rsc176_364.txt,binary_cut
2941,168,17.50595238095238,527,4.115749525616699,65,102,94,2052,rsc37_rsc176_336.txt,binary_cut
3419,226,15.128318584070797,619,3.974151857835218,62,141,127,2314,rsc37_rsc176_702.txt,binary_cut
3786,218,17.36697247706422,659,4.323216995447648,83,145,111,2708,rsc37_rsc176_830.txt,binary_cut
3429,188,18.23936170212766,677,3.5657311669128506,78,111,94,2255,rsc37_rsc176_734.txt,binary_cut
3336,250,13.344,591,4.192893401015229,75,172,128,2327,rsc37_rsc176_635.txt,binary_cut
3182,253,12.577075098814229,586,3.8600682593856654,57,167,152,2066,rsc37_rsc176_490.txt,binary_cut
3518,210,16.752380952380953,680,3.648529411764706,59,132,124,2341,rsc37_rsc176_725.txt,binary_cut
3263,160,20.39375,584,4.179794520547945,52,98,95,2326,rsc37_rsc176_728.txt,binary_cut
4245,184,23.070652173913043,708,4.610169491525424,92,101,99,3120,rsc37_rsc176_606.txt,binary_cut
3479,200,17.395,624,4.184294871794871,62,128,113,2497,rsc37_rsc176_693.txt,binary_cut
2896,127,22.80314960629921,472,4.697033898305085,65,73,69,2123,rsc37_rsc176_843.txt,binary_cut
3372,166,20.313253012048193,609,4.114942528735632,75,98,92,2392,rsc37_rsc176_722.txt,binary_cut
4856,111,43.747747747747745,824,4.718446601941747,36,31,31,3823,rsc37_rsc176_293.txt,binary_cut
4316,219,19.707762557077626,782,4.072890025575448,83,140,128,3002,rsc37_rsc176_631.txt,binary_cut
3157,160,19.73125,556,4.282374100719425,72,68,59,2268,rsc37_rsc176_871.txt,binary_cut
3642,204,17.852941176470587,631,4.3486529318541995,92,130,100,2575,rsc37_rsc176_806.txt,binary_cut
3791,151,25.105960264900663,660,4.35,90,82,76,2755,rsc37_rsc176_876.txt,binary_cut
3241,120,27.008333333333333,537,4.728119180633147,43,60,56,2502,rsc37_rsc176_548.txt,binary_cut
3265,159,20.534591194968552,593,4.124789207419899,55,92,83,2325,rsc37_rsc176_699.txt,binary_cut
5536,317,17.463722397476342,1023,4.023460410557185,92,176,156,3886,rsc37_rsc176_402.txt,binary_cut
2314,127,18.22047244094488,381,4.703412073490814,32,72,68,1742,rsc37_rsc176_827.txt,binary_cut
3305,257,12.859922178988327,599,4.001669449081803,65,170,153,2255,rsc37_rsc176_835.txt,binary_cut
3520,106,33.20754716981132,620,4.330645161290323,91,45,35,2529,rsc37_rsc176_566.txt,binary
3164,124,25.516129032258064,517,4.607350096711799,45,67,62,2316,rsc37_rsc176_525.txt,binary
7251,345,21.017391304347825,1321,4.117335352006056,129,186,153,5172,rsc37_rsc176_1043.txt,binary
3190,116,27.5,530,4.726415094339623,41,56,50,2438,rsc37_rsc176_399.txt,binary
4022,162,24.82716049382716,951,2.5173501577287065,84,57,70,2055,rsc37_rsc176_638.txt,binary
3914,151,25.920529801324502,703,4.159317211948791,66,86,76,2804,rsc37_rsc176_714.txt,binary
5309,223,23.807174887892376,890,4.478651685393259,84,130,124,3811,rsc37_rsc176_595.txt,binary
10534,949,11.100105374077977,2207,3.3633892161304937,221,666,316,6919,rsc37_rsc176_484.txt,binary
3673,108,34.00925925925926,626,4.517571884984026,86,43,41,2703,rsc37_rsc176_837.txt,binary
3238,131,24.717557251908396,536,4.6940298507462686,23,70,62,2459,rsc37_rsc176_551.txt,binary
3075,154,19.967532467532468,547,4.188299817184643,76,90,55,2170,rsc37_rsc176_816.txt,binary
4700,115,40.869565217391305,787,4.754764930114359,90,34,28,3634,rsc37_rsc176_291.txt,binary
2969,87,34.12643678160919,495,4.814141414141414,64,38,26,2306,rsc37_rsc176_278.txt,binary
4666,296,15.763513513513514,1065,2.6450704225352113,87,170,129,2603,rsc37_rsc176_690.txt,binary
4086,169,24.17751479289941,811,3.5178791615289766,77,95,87,2674,rsc37_rsc176_867.txt,binary
6000,262,22.900763358778626,1181,3.2091447925486873,156,62,93,3578,rsc37_rsc176_601.txt,binary
2882,81,35.58024691358025,504,4.438492063492063,61,32,27,2129,rsc37_rsc176_390.txt,binary
4213,150,28.086666666666666,736,4.391304347826087,66,73,51,3163,rsc37_rsc176_603.txt,binary
4093,193,21.207253886010363,713,4.228611500701263,111,114,93,2847,rsc37_rsc176_840.txt,binary
3621,132,27.431818181818183,587,4.679727427597956,73,78,74,2660,rsc37_rsc176_283.txt,binary
3718,185,20.0972972972973,655,4.23969465648855,72,102,89,2649,rsc37_rsc176_711.txt,binary
3003,94,31.9468085106383,492,4.7439024390243905,62,40,34,2263,rsc37_rsc176_383.txt,binary
4106,177,23.19774011299435,728,4.024725274725275,107,108,96,2734,rsc37_rsc176_809.txt,binary
3898,171,22.795321637426902,702,4.119658119658119,93,87,83,2749,rsc37_rsc176_589.txt,binary
3853,318,12.116352201257861,701,3.8930099857346647,124,193,149,2513,rsc37_rsc176_664.txt,binary
4475,132,33.90151515151515,743,4.693135935397039,78,59,47,3398,rsc37_rsc176_367.txt,binary
3943,166,23.753012048192772,735,3.8122448979591836,80,91,79,2601,rsc37_rsc176_625.txt,binary
4042,140,28.87142857142857,679,4.41678939617084,63,80,74,2891,rsc37_rsc176_628.txt,binary
4041,134,30.15671641791045,701,4.379457917261056,98,65,60,2915,rsc37_rsc176_557.txt,binary
5719,188,30.420212765957448,996,4.228915662650603,104,86,87,4021,rsc37_rsc176_717.txt,binary
4515,210,21.5,775,4.372903225806452,106,137,101,3234,rsc37_rsc176_361.txt,binary
3580,145,24.689655172413794,718,3.4846796657381613,70,65,65,2305,rsc37_rsc176_583.txt,binary
3335,126,26.46825396825397,550,4.6,72,60,58,2427,rsc37_rsc176_480.txt,binary
10480,325,32.246153846153845,1896,4.208860759493671,224,143,125,7716,rsc37_rsc176_873.txt,binary
4385,120,36.541666666666664,772,4.251295336787565,72,49,46,3164,rsc37_rsc176_477.txt,binary
3430,129,26.589147286821706,653,3.6401225114854516,81,69,66,2245,rsc37_rsc176_516.txt,binary
3871,160,24.19375,722,3.8684210526315788,66,85,70,2609,rsc37_rsc176_686.txt,binary
3642,183,19.901639344262296,650,4.12,83,117,100,2532,rsc37_rsc176_598.txt,binary
3161,71,44.521126760563384,524,4.7538167938931295,86,20,17,2394,rsc37_rsc176_560.txt,binary
4449,128,34.7578125,759,4.424242424242424,31,52,54,3279,rsc37_rsc176_648.txt,binary
2602,168,15.488095238095237,530,3.3773584905660377,52,89,72,1630,rsc37_rsc176_708.txt,binary
3286,115,28.57391304347826,562,4.555160142348755,18,56,47,2505,rsc37_rsc176_501.txt,binary
8165,337,24.228486646884274,1571,3.5849777211966902,194,172,153,5225,rsc37_rsc176_364.txt,binary
3197,116,27.560344827586206,587,4.042589437819421,74,56,53,2235,rsc37_rsc176_336.txt,binary
3933,161,24.428571428571427,730,3.856164383561644,76,76,73,2649,rsc37_rsc176_702.txt,binary
3979,144,27.631944444444443,704,4.215909090909091,87,71,67,2829,rsc37_rsc176_830.txt,binary
3490,147,23.741496598639454,651,3.9907834101382487,89,84,73,2465,rsc37_rsc176_734.txt,binary
3334,116,28.74137931034483,580,4.355172413793103,69,54,51,2391,rsc37_rsc176_635.txt,binary
3393,147,23.081632653061224,629,3.944356120826709,68,78,61,2285,rsc37_rsc176_490.txt,binary
3700,159,23.270440251572328,757,3.430647291941876,74,88,81,2434,rsc37_rsc176_725.txt,binary
3912,139,28.14388489208633,719,4.019471488178025,65,70,67,2771,rsc37_rsc176_728.txt,binary
4468,142,31.464788732394368,760,4.527631578947369,104,62,53,3279,rsc37_rsc176_606.txt,binary
4355,139,31.33093525179856,773,4.121604139715394,88,62,65,3048,rsc37_rsc176_693.txt,binary
3557,125,28.456,580,4.701724137931034,69,64,59,2617,rsc37_rsc176_843.txt,binary
3648,160,22.8,669,3.9237668161434978,94,90,82,2490,rsc37_rsc176_722.txt,binary
4934,120,41.11666666666667,835,4.667065868263473,44,39,38,3824,rsc37_rsc176_293.txt,binary
5032,277,18.166064981949457,950,3.813684210526316,97,176,139,3419,rsc37_rsc176_631.txt,binary
3524,96,36.708333333333336,603,4.416252072968491,82,40,37,2528,rsc37_rsc176_871.txt,binary
3750,111,33.78378378378378,630,4.56031746031746,93,48,41,2718,rsc37_rsc176_806.txt,binary
4275,187,22.86096256684492,768,4.14453125,103,101,86,3048,rsc37_rsc176_876.txt,binary
3414,149,22.91275167785235,585,4.425641025641026,58,77,57,2543,rsc37_rsc176_548.txt,binary
3560,144,24.72222222222222,651,4.04915514592934,59,80,75,2526,rsc37_rsc176_699.txt,binary
3886,147,26.435374149659864,704,4.208806818181818,68,74,64,2792,rsc37_rsc176_402.txt,binary
2820,129,21.86046511627907,461,4.752711496746204,35,69,60,2140,rsc37_rsc176_827.txt,binary
3219,120,26.825,568,4.255281690140845,75,64,57,2276,rsc37_rsc176_835.txt,binary
3201,81,39.51851851851852,539,4.679035250463822,89,27,27,2400,rsc37_rsc176_566.txt,normal
3050,138,22.10144927536232,496,4.786290322580645,40,73,62,2306,rsc37_rsc176_525.txt,normal
2111,173,12.202312138728324,375,3.8693333333333335,35,116,105,1357,rsc37_rsc176_1043.txt,normal
3032,102,29.725490196078432,496,4.860887096774194,36,49,47,2356,rsc37_rsc176_399.txt,normal
234,43,5.441860465116279,59,2.169491525423729,4,34,27,122,rsc37_rsc176_638.txt,normal
3693,103,35.85436893203884,641,4.461778471138846,56,47,44,2737,rsc37_rsc176_714.txt,normal
4810,282,17.05673758865248,817,4.500611995104039,68,172,140,3533,rsc37_rsc176_595.txt,normal
2982,308,9.681818181818182,750,2.0653333333333332,61,205,190,1377,rsc37_rsc176_484.txt,normal
3512,120,29.266666666666666,570,4.850877192982456,82,59,59,2651,rsc37_rsc176_837.txt,normal
3059,115,26.6,495,4.903030303030303,16,60,56,2384,rsc37_rsc176_551.txt,normal
2959,183,16.169398907103826,550,3.9672727272727273,60,124,71,2074,rsc37_rsc176_816.txt,normal
4637,108,42.93518518518518,781,4.781049935979514,83,27,27,3625,rsc37_rsc176_291.txt,normal
2850,61,46.721311475409834,469,4.963752665245202,53,15,15,2260,rsc37_rsc176_278.txt,normal
106,38,2.789473684210526,18,2.2777777777777777,2,32,28,39,rsc37_rsc176_690.txt,normal
3355,112,29.955357142857142,604,4.279801324503311,51,54,52,2466,rsc37_rsc176_867.txt,normal
3826,114,33.56140350877193,647,4.666151468315301,80,42,41,2918,rsc37_rsc176_601.txt,normal
2902,106,27.37735849056604,512,4.40234375,49,52,43,2162,rsc37_rsc176_390.txt,normal
3926,93,42.215053763440864,660,4.740909090909091,55,27,27,3067,rsc37_rsc176_603.txt,normal
3502,163,21.484662576687118,595,4.534453781512605,90,89,69,2566,rsc37_rsc176_840.txt,normal
3404,83,41.01204819277108,568,4.776408450704225,63,31,25,2638,rsc37_rsc176_283.txt,normal
3563,118,30.194915254237287,627,4.382775119617225,59,58,51,2654,rsc37_rsc176_711.txt,normal
2906,77,37.74025974025974,468,4.9081196581196584,48,30,27,2232,rsc37_rsc176_383.txt,normal
3606,112,32.19642857142857,608,4.621710526315789,88,50,43,2646,rsc37_rsc176_809.txt,normal
3603,118,30.533898305084747,615,4.546341463414634,89,49,45,2682,rsc37_rsc176_589.txt,normal
3201,108,29.63888888888889,554,4.404332129963899,81,46,44,2299,rsc37_rsc176_664.txt,normal
3855,98,39.33673469387755,637,4.861852433281005,55,37,34,3031,rsc37_rsc176_367.txt,normal
3375,118,28.60169491525424,590,4.440677966101695,74,56,57,2474,rsc37_rsc176_625.txt,normal
3829,123,31.130081300813007,649,4.604006163328197,63,63,57,2889,rsc37_rsc176_628.txt,normal
3804,113,33.663716814159294,633,4.731437598736177,74,50,46,2873,rsc37_rsc176_557.txt,normal
5588,409,13.662591687041564,1092,3.52014652014652,103,241,193,3584,rsc37_rsc176_717.txt,normal
3721,151,24.642384105960264,635,4.603149606299213,57,80,62,2830,rsc37_rsc176_361.txt,normal
3081,240,12.8375,622,3.4807073954983925,47,152,127,2009,rsc37_rsc176_583.txt,normal
3207,119,26.949579831932773,504,4.982142857142857,58,58,56,2431,rsc37_rsc176_480.txt,normal
9883,242,40.83884297520661,1742,4.452353616532721,183,91,85,7524,rsc37_rsc176_873.txt,normal
4026,124,32.46774193548387,667,4.755622188905547,59,60,56,3054,rsc37_rsc176_477.txt,normal
3114,139,22.402877697841728,569,4.059753954305799,75,78,64,2200,rsc37_rsc176_516.txt,normal
2449,89,27.51685393258427,430,4.397674418604651,45,38,39,1774,rsc37_rsc176_686.txt,normal
3347,250,13.388,600,4.193333333333333,67,135,117,2378,rsc37_rsc176_598.txt,normal
3138,78,40.23076923076923,527,4.738140417457306,82,25,21,2396,rsc37_rsc176_560.txt,normal
4054,121,33.50413223140496,668,4.866766467065868,20,54,54,3176,rsc37_rsc176_648.txt,normal
99,30,3.3,18,2.7777777777777777,1,23,20,48,rsc37_rsc176_708.txt,normal
3197,89,35.92134831460674,517,4.990328820116054,9,31,28,2540,rsc37_rsc176_501.txt,normal
871,264,3.2992424242424243,129,3.193798449612403,13,228,206,374,rsc37_rsc176_364.txt,normal
3121,214,14.58411214953271,551,4.246823956442832,55,161,97,2227,rsc37_rsc176_336.txt,normal
2089,361,5.786703601108033,427,3.2060889929742387,32,234,168,1268,rsc37_rsc176_702.txt,normal
3625,96,37.760416666666664,596,4.833892617449664,80,34,34,2741,rsc37_rsc176_830.txt,normal
3247,120,27.058333333333334,595,4.231932773109244,68,62,57,2379,rsc37_rsc176_734.txt,normal
3053,93,32.82795698924731,521,4.585412667946257,56,40,40,2284,rsc37_rsc176_635.txt,normal
1657,182,9.104395604395604,301,4.033222591362127,28,116,89,1118,rsc37_rsc176_490.txt,normal
2945,124,23.75,553,4.039783001808318,56,72,64,2125,rsc37_rsc176_725.txt,normal
3436,116,29.620689655172413,606,4.391089108910891,56,57,54,2568,rsc37_rsc176_728.txt,normal
4421,133,33.2406015037594,731,4.679890560875513,112,62,58,3244,rsc37_rsc176_606.txt,normal
4069,167,24.365269461077844,735,4.182312925170068,67,92,81,2951,rsc37_rsc176_693.txt,normal
